Date,High,Low,Open,Close,Volume,Adj Close,Name
2013-12-09,124.37999725341797,121.97000122070312,124.08999633789062,122.30000305175781,755700,122.30000305175781,FOSL
2013-12-10,124.16000366210938,120.44999694824219,121.66999816894531,123.19000244140625,608500,123.19000244140625,FOSL
2013-12-11,123.81999969482422,120.9800033569336,122.98999786376953,121.19000244140625,552000,121.19000244140625,FOSL
2013-12-12,122.73999786376953,118.19000244140625,118.19000244140625,120.55000305175781,748400,120.55000305175781,FOSL
2013-12-13,122.37000274658203,121.04000091552734,121.45999908447266,121.61000061035156,627900,121.61000061035156,FOSL
2013-12-16,123.9000015258789,120.61000061035156,122.16000366210938,121.18000030517578,564300,121.18000030517578,FOSL
2013-12-17,121.3499984741211,119.3499984741211,120.91000366210938,120.72000122070312,697500,120.72000122070312,FOSL
2013-12-18,121.43000030517578,117.87000274658203,120.9000015258789,120.48999786376953,1129100,120.48999786376953,FOSL
2013-12-19,120.6500015258789,118.61000061035156,120.19000244140625,118.80999755859375,774600,118.80999755859375,FOSL
2013-12-20,119.22000122070312,117.5,119.16999816894531,118.8499984741211,4447100,118.8499984741211,FOSL
2013-12-23,121.37000274658203,119.33999633789062,120.47000122070312,119.93000030517578,873000,119.93000030517578,FOSL
2013-12-24,120.68000030517578,119.5999984741211,119.63999938964844,120.0199966430664,425400,120.0199966430664,FOSL
2013-12-26,122.2699966430664,120.31999969482422,120.36000061035156,121.58999633789062,1203600,121.58999633789062,FOSL
2013-12-27,121.94999694824219,119.36000061035156,120.72000122070312,120.12000274658203,883000,120.12000274658203,FOSL
2013-12-30,122.37999725341797,119.37999725341797,120.45999908447266,120.30000305175781,784900,120.30000305175781,FOSL
2013-12-31,120.73999786376953,119.51000213623047,120.73999786376953,119.94000244140625,388300,119.94000244140625,FOSL
2014-01-02,119.94000244140625,116.62999725341797,116.62999725341797,118.37000274658203,713100,118.37000274658203,FOSL
2014-01-03,121.5199966430664,118.52999877929688,118.83999633789062,121.22000122070312,1060500,121.22000122070312,FOSL
2014-01-06,121.98999786376953,119.88999938964844,121.41999816894531,120.0199966430664,932900,120.0199966430664,FOSL
2014-01-07,121.02999877929688,119.02999877929688,120.37999725341797,119.91000366210938,871600,119.91000366210938,FOSL
2014-01-08,119.94000244140625,117.83999633789062,119.29000091552734,118.11000061035156,1016500,118.11000061035156,FOSL
2014-01-09,120.0,117.04000091552734,118.0999984741211,119.31999969482422,1228300,119.31999969482422,FOSL
2014-01-10,119.20999908447266,116.66999816894531,116.95999908447266,118.01000213623047,2688700,118.01000213623047,FOSL
